r,t,y,DiscountedTechnologyEmissionsPenalty
"Atlantis_00A","DS_IMP",2039,0
"Atlantis_00A","DS_IMP",2040,0
"Atlantis_00A","DS_IMP",2041,0
"Atlantis_00A","DS_IMP",2042,0
"Atlantis_00A","DS_IMP",2043,0
"Atlantis_00A","DS_IMP",2044,0
"Atlantis_00A","DS_IMP",2045,0
"Atlantis_00A","DS_IMP",2046,0
"Atlantis_00A","DS_IMP",2047,0
"Atlantis_00A","DS_IMP",2048,0
"Atlantis_00A","DS_IMP",2049,0
"Atlantis_00A","DS_IMP",2050,0
"Atlantis_00A","DS_IMP",2051,0
"Atlantis_00A","DS_IMP",2052,0
"Atlantis_00A","DS_IMP",2053,0
"Atlantis_00A","DS_IMP",2054,0
"Atlantis_00A","DS_IMP",2055,0
"Atlantis_00A","DS_IND",2014,0
"Atlantis_00A","DS_IND",2015,0
"Atlantis_00A","DS_IND",2016,0
"Atlantis_00A","DS_IND",2017,0
"Atlantis_00A","DS_IND",2018,0
"Atlantis_00A","DS_IND",2019,0
"Atlantis_00A","DS_IND",2020,0
"Atlantis_00A","DS_IND",2021,0
"Atlantis_00A","DS_IND",2022,0
"Atlantis_00A","DS_IND",2023,0
"Atlantis_00A","DS_IND",2024,0
"Atlantis_00A","DS_IND",2025,0
"Atlantis_00A","DS_IND",2026,0
"Atlantis_00A","DS_IND",2027,0
"Atlantis_00A","DS_IND",2028,0
"Atlantis_00A","DS_IND",2029,0
"Atlantis_00A","DS_IND",2030,0
"Atlantis_00A","DS_IND",2031,0
"Atlantis_00A","DS_IND",2032,0
"Atlantis_00A","DS_IND",2033,0
"Atlantis_00A","DS_IND",2034,0
