r,t,y,TotalCapacityAnnual
"Atlantis_00A","DIST_SER",2046,16.4220752377015
"Atlantis_00A","DIST_SER",2047,16.7424555601488
"Atlantis_00A","DIST_SER",2048,17.0525010334849
"Atlantis_00A","DIST_SER",2049,17.362546506821
"Atlantis_00A","DIST_SER",2050,17.6725919801571
"Atlantis_00A","DIST_SER",2051,17.9826374534932
"Atlantis_00A","DIST_SER",2052,18.2926829268293
"Atlantis_00A","DIST_SER",2053,18.6027284001654
"Atlantis_00A","DIST_SER",2054,18.9127738735014
"Atlantis_00A","DIST_SER",2055,19.2228193468375
"Atlantis_00A","DIST_TRA",2014,0.010334849111203
"Atlantis_00A","DIST_TRA",2015,0.0310045473336089
"Atlantis_00A","DIST_TRA",2016,0.0310045473336089
"Atlantis_00A","DIST_TRA",2017,0.0516742455560149
"Atlantis_00A","DIST_TRA",2018,0.0826787928896238
"Atlantis_00A","DIST_TRA",2019,0.113683340223233
"Atlantis_00A","DIST_TRA",2020,0.0723439437784208
"Atlantis_00A","DIST_TRA",2021,0.0930136420008268
"Atlantis_00A","DIST_TRA",2022,0.0930136420008268
"Atlantis_00A","DIST_TRA",2023,0.113683340223233
"Atlantis_00A","DIST_TRA",2024,0.144687887556842
"Atlantis_00A","DIST_TRA",2025,0.175692434890451
"Atlantis_00A","DIST_TRA",2026,2.23232740801984
"Atlantis_00A","DIST_TRA",2027,4.88838362959901
"Atlantis_00A","DIST_TRA",2028,8.27821413807358
"Atlantis_00A","DIST_TRA",2029,12.5155022736668
"Atlantis_00A","DIST_TRA",2030,17.7035965274907
"Atlantis_00A","DIST_TRA",2031,23.8941711451013
"Atlantis_00A","DIST_TRA",2032,31.0355518809425
"Atlantis_00A","DIST_TRA",2033,38.9830508474576
"Atlantis_00A","DIST_TRA",2034,47.4782968168665
"Atlantis_00A","DIST_TRA",2035,56.159570070277
"Atlantis_00A","DIST_TRA",2036,64.6444811905746
"Atlantis_00A","DIST_TRA",2037,72.5919801570897
"Atlantis_00A","DIST_TRA",2038,79.733360892931
"Atlantis_00A","DIST_TRA",2039,85.9239355105415
"Atlantis_00A","DIST_TRA",2040,91.1120297643654
"Atlantis_00A","DIST_TRA",2041,95.3493178999587
"Atlantis_00A","DIST_TRA",2042,98.7391484084333
"Atlantis_00A","DIST_TRA",2043,101.395204630012
"Atlantis_00A","DIST_TRA",2044,103.451839603142
