r,t,y,CapitalInvestment
"Atlantis_00A","DIST_RES",2042,0.00228813559322034
"Atlantis_00A","DIST_RES",2043,0.00235324514262092
"Atlantis_00A","DIST_RES",2044,0.00242042166184374
"Atlantis_00A","DIST_RES",2045,0.0024896651508888
"Atlantis_00A","DIST_RES",2046,0.0025609756097561
"Atlantis_00A","DIST_RES",2047,0.00263331955353452
"Atlantis_00A","DIST_RES",2048,0.0027087639520463
"Atlantis_00A","DIST_RES",2049,0.00278627532038032
"Atlantis_00A","DIST_RES",2050,0.0027800744109136
"Atlantis_00A","DIST_RES",2051,0.00285965274906986
"Atlantis_00A","DIST_RES",2052,0.00294129805704837
"Atlantis_00A","DIST_RES",2053,0.00302501033484911
"Atlantis_00A","DIST_RES",2054,0.0031107895824721
"Atlantis_00A","DIST_RES",2055,0.00319966928482844
"Atlantis_00A","DIST_SER",2014,0.000650062009094667
"Atlantis_00A","DIST_SER",2015,0.000702769739561802
"Atlantis_00A","DIST_SER",2016,0.000744109136006615
"Atlantis_00A","DIST_SER",2017,0.000774080198429103
"Atlantis_00A","DIST_SER",2018,0.000810252170318313
"Atlantis_00A","DIST_SER",2019,0.00083402232327408
"Atlantis_00A","DIST_SER",2020,0.00076477883422902
"Atlantis_00A","DIST_SER",2021,0.000889830508474576
"Atlantis_00A","DIST_SER",2022,0.000913600661430343
"Atlantis_00A","DIST_SER",2023,0.00093840429929723
"Atlantis_00A","DIST_SER",2024,0.000964241422075238
"Atlantis_00A","DIST_SER",2025,0.000990078544853245
"Atlantis_00A","DIST_SER",2026,0.00101591566763125
"Atlantis_00A","DIST_SER",2027,0.0010438197602315
"Atlantis_00A","DIST_SER",2028,0.00105312112443158
"Atlantis_00A","DIST_SER",2029,0.00107275733774287
"Atlantis_00A","DIST_SER",2030,0.00109239355105415
"Atlantis_00A","DIST_SER",2031,0.00111306324927656
"Atlantis_00A","DIST_SER",2032,0.00113373294749897
"Atlantis_00A","DIST_SER",2033,0.00115130219098801
"Atlantis_00A","DIST_SER",2034,0.00116680446465482
"Atlantis_00A","DIST_SER",2035,0.00118230673832162
"Atlantis_00A","DIST_SER",2036,0.00119884249689955
"Atlantis_00A","DIST_SER",2037,0.00121537825547747
"Atlantis_00A","DIST_SER",2038,0.00122881355932203
"Atlantis_00A","DIST_SER",2039,0.00124018189334436
"Atlantis_00A","DIST_SER",2040,0.00125155022736668
"Atlantis_00A","DIST_SER",2041,0.001262918561389
"Atlantis_00A","DIST_SER",2042,0.00127532038032245
"Atlantis_00A","DIST_SER",2043,0.00128668871434477
"Atlantis_00A","DIST_SER",2044,0.00129805704836709
"Atlantis_00A","DIST_SER",2045,0.00131045886730054
"Atlantis_00A","DIST_SER",2046,0.00132182720132286
"Atlantis_00A","DIST_SER",2047,0.0013342290202563
"Atlantis_00A","DIST_SER",2048,0.00134146341463415
"Atlantis_00A","DIST_SER",2049,0.00135386523356759
"Atlantis_00A","DIST_SER",2050,0.00136626705250103
"Atlantis_00A","DIST_SER",2051,0.00137866887143448
"Atlantis_00A","DIST_SER",2052,0.00139107069036792
"Atlantis_00A","DIST_SER",2053,0.00140450599421248
"Atlantis_00A","DIST_SER",2054,0.00141690781314593
"Atlantis_00A","DIST_SER",2055,0.00143034311699049
"Atlantis_00A","DIST_TRA",2014,1.0334849111203e-06
"Atlantis_00A","DIST_TRA",2015,3.10045473336089e-06
"Atlantis_00A","DIST_TRA",2016,3.10045473336089e-06
"Atlantis_00A","DIST_TRA",2017,5.16742455560149e-06
"Atlantis_00A","DIST_TRA",2018,8.26787928896238e-06
"Atlantis_00A","DIST_TRA",2019,1.13683340223233e-05
"Atlantis_00A","DIST_TRA",2020,7.23439437784209e-06
"Atlantis_00A","DIST_TRA",2021,9.30136420008268e-06
"Atlantis_00A","DIST_TRA",2022,9.30136420008268e-06
"Atlantis_00A","DIST_TRA",2023,1.13683340223233e-05
"Atlantis_00A","DIST_TRA",2024,1.44687887556842e-05
"Atlantis_00A","DIST_TRA",2025,1.75692434890451e-05
"Atlantis_00A","DIST_TRA",2026,1.96362133112857e-05
"Atlantis_00A","DIST_TRA",2027,2.27366680446466e-05
